kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
nw.5.sm_52.ptx 170 : 258048 2322433 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 190 : 258048 2322433 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 169 : 258048 2322433 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 189 : 258048 2322433 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 168 : 258048 2322432 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 188 : 258048 2322433 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 167 : 258048 2322434 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 61 : 2016 12096 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 398 : 262144 1312000 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 395 : 2097152 9180160 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 57 : 2016 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 394 : 2097152 23014784 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 56 : 2016 12096 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 393 : 2097152 29350592 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 392 : 2097152 29297984 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 386 : 2097152 27136896 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 376 : 2097152 71306848 0 65536 65536 0 0 0 0 
nw.5.sm_52.ptx 375 : 2097152 18876128 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 373 : 2097152 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 371 : 2097152 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 370 : 2097152 12586880 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 369 : 2097152 18880992 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 366 : 2097152 8389824 0 0 0 262144 65536 0 0 
nw.5.sm_52.ptx 365 : 2097152 18876352 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 364 : 2097152 18876960 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 363 : 2097152 71307712 0 65536 65536 0 0 0 0 
nw.5.sm_52.ptx 362 : 2097152 18877696 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 360 : 2097152 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 358 : 2097152 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 357 : 2097152 12585856 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 356 : 2097152 18882688 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 353 : 2097152 8389536 0 0 0 262144 65536 0 0 
nw.5.sm_52.ptx 352 : 2097152 18876992 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 351 : 2097152 18876864 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 350 : 2097152 71306496 0 65536 65536 0 0 0 0 
nw.5.sm_52.ptx 349 : 2097152 18875744 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 347 : 2097152 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 345 : 2097152 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 344 : 2097152 12585280 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 343 : 2097152 18881984 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 340 : 2097152 8389696 0 0 0 262144 65536 0 0 
nw.5.sm_52.ptx 339 : 2097152 18876160 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 338 : 2097152 18875872 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 337 : 2097152 71310784 0 65536 65536 0 0 0 0 
nw.5.sm_52.ptx 336 : 2097152 18875552 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 334 : 2097152 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 332 : 2097152 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 331 : 2097152 12586976 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 330 : 2097152 18882144 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 327 : 2097152 8391712 0 0 0 262144 65536 0 0 
nw.5.sm_52.ptx 326 : 2097152 18875264 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 325 : 2097152 18876480 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 324 : 2097152 71307264 0 65536 65536 0 0 0 0 
nw.5.sm_52.ptx 323 : 2097152 18875232 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 321 : 2097152 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 319 : 2097152 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 226 : 16777216 100663384 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 195 : 16777216 20480 0 0 0 0 0 0 4032 
nw.5.sm_52.ptx 185 : 4096 24576 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 184 : 4096 24576 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 150 : 16777216 150994994 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 317 : 2097152 18880704 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 228 : 16777216 117440512 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 149 : 16777216 100663415 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 227 : 16777216 150995022 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 148 : 16777216 100663418 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 146 : 33292288 82575570 0 0 0 0 0 0 507904 
nw.5.sm_52.ptx 313 : 2097152 18876384 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 145 : 33292288 199754080 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 312 : 2097152 18876768 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 144 : 33292288 199754016 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 311 : 2097152 71307936 0 65536 65536 0 0 0 0 
nw.5.sm_52.ptx 143 : 33292288 199753824 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 310 : 2097152 18877152 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 142 : 33292288 266338016 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 141 : 33292288 233046016 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 308 : 2097152 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 140 : 33292288 299630720 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 139 : 33292288 1098777856 0 1040384 1040384 0 0 0 0 
nw.5.sm_52.ptx 306 : 2097152 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 138 : 33292288 299630912 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 305 : 2097152 12587072 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 216 : 4096 24576 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 137 : 33292288 1098817408 0 1040384 1040384 0 0 0 0 
nw.5.sm_52.ptx 304 : 2097152 18881408 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 215 : 4096 24576 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 385 : 2097152 21059680 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 48 : 262144 1290240 0 0 0 0 0 0 4096 
nw.5.sm_52.ptx 136 : 33292288 199754496 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 135 : 33292288 199754336 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 134 : 33292288 199754048 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 301 : 2097152 8392224 0 0 0 262144 65536 0 0 
nw.5.sm_52.ptx 128 : 262144 2249344 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 295 : 2097152 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 151 : 16777216 100663402 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 318 : 2097152 12584960 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 72 : 2080 12480 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 239 : 16777216 67158218 0 778240 778240 0 0 0 0 
nw.5.sm_52.ptx 133 : 33292288 199753952 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 300 : 2097152 18877216 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 391 : 2097152 29393888 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 54 : 4096 10400 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 91 : 4032 133056 0 4032 4032 0 0 0 0 
nw.5.sm_52.ptx 258 : 262144 1835008 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 390 : 2097152 29306944 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 53 : 4096 24576 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 220 : 4095 24570 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 90 : 4032 24192 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 257 : 262144 2359360 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 389 : 2097152 29391264 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 52 : 4096 24576 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 219 : 4095 24570 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 130 : 262144 2177312 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 297 : 2097152 18875232 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 388 : 2097152 29280000 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 51 : 4096 20480 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 118 : 262144 1310720 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 285 : 2097152 71320000 0 65536 65536 0 0 0 0 
nw.5.sm_52.ptx 123 : 262144 1314560 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 44 : 262144 2065984 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 129 : 262144 2654208 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 387 : 2097152 29084096 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 50 : 4096 20480 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 127 : 262144 1837952 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 164 : 4096 28671 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 85 : 4096 24576 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 252 : 262144 8654176 0 8192 8192 0 0 0 0 
nw.5.sm_52.ptx 126 : 262144 3194816 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 293 : 2097152 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 384 : 2097152 27246720 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 47 : 262144 1572864 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 163 : 4096 28672 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 242 : 33292288 166461632 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 75 : 2080 12480 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 84 : 4096 24576 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 125 : 262144 1835008 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 292 : 2097152 12586656 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 383 : 2097152 20971520 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 46 : 262144 1572864 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 83 : 4096 36864 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 120 : 262144 1572864 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 287 : 2097152 18876448 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 378 : 2097152 18877664 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 41 : 262144 1328928 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 115 : 4096 16453 0 4096 4096 0 0 0 0 
nw.5.sm_52.ptx 282 : 2097152 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 77 : 2080 10400 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 244 : 33292288 332922880 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 121 : 262144 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 288 : 2097152 8393088 0 0 0 262144 65536 0 0 
nw.5.sm_52.ptx 379 : 2097152 8389504 0 0 0 262144 65536 0 0 
nw.5.sm_52.ptx 42 : 262144 1775264 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 43 : 262144 1971776 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 124 : 262144 2359296 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 291 : 2097152 18880288 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 382 : 2097152 18883616 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 45 : 262144 1575744 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 377 : 2097152 18877568 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 40 : 262144 958656 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 119 : 262144 8888416 0 8192 8192 0 0 0 0 
nw.5.sm_52.ptx 286 : 2097152 18877792 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 152 : 16777216 100663296 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 73 : 2080 8320 0 2080 2080 0 0 0 0 
nw.5.sm_52.ptx 153 : 16777216 150995163 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 74 : 2080 18720 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 154 : 16777216 28672 0 0 0 0 0 0 4032 
nw.5.sm_52.ptx 76 : 2080 8320 0 2080 2080 0 0 0 0 
nw.5.sm_52.ptx 243 : 33292288 299630944 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 86 : 4096 20160 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 253 : 262144 1310880 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 92 : 4032 36288 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 259 : 262144 2634240 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 93 : 4032 24192 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 260 : 262144 2870496 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 94 : 4032 24192 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 261 : 262144 2365856 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 174 : 16777216 100663312 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 95 : 4032 24192 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 262 : 262144 2627808 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 175 : 16777216 20480 0 0 0 0 0 0 3968 
nw.5.sm_52.ptx 96 : 4032 20160 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 263 : 262144 2359392 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 229 : 16777216 150994967 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 230 : 16777216 784609042 252416 0 0 905216 778240 0 0 
nw.5.sm_52.ptx 231 : 16777216 729027455 251648 0 0 905216 778240 0 0 
nw.5.sm_52.ptx 232 : 16777216 100663391 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 233 : 16777216 100663444 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 234 : 16777216 150995087 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 235 : 16777216 167772103 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 236 : 16777216 184549274 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 237 : 16777216 150995086 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 238 : 16777216 150995113 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 245 : 33292288 366214496 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 246 : 33292288 1106743776 0 1040384 1040384 0 0 0 0 
nw.5.sm_52.ptx 247 : 33292288 366197824 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 248 : 33292288 199754112 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 249 : 33292288 165151136 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 156 : 16773120 133994484 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 157 : 16773120 1290241 0 0 0 0 0 0 254016 
nw.5.sm_52.ptx 159 : 16515072 561586817 0 774144 774144 0 0 0 0 
nw.5.sm_52.ptx 160 : 16515072 82575420 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 177 : 16773120 100638895 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 178 : 16773120 1290240 0 0 0 0 0 0 249984 
nw.5.sm_52.ptx 180 : 16515072 561573048 0 770048 770048 0 0 0 0 
nw.5.sm_52.ptx 181 : 16515072 82575502 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 197 : 16773120 20475 0 0 0 0 0 0 3967 
nw.5.sm_52.ptx 199 : 16769025 100614328 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 200 : 16769025 100614211 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 201 : 16769025 100614216 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 202 : 16769025 2560006 0 0 0 0 0 0 376866 
nw.5.sm_52.ptx 203 : 16257024 81285214 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 223 : 16257024 552782987 0 765952 765952 0 0 0 0 
nw.5.sm_52.ptx 254 : 262144 8660416 0 8192 8192 0 0 0 0 
nw.5.sm_52.ptx 255 : 262144 2359392 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 256 : 262144 2621440 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 264 : 262144 2621440 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 265 : 262144 2359360 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 266 : 262144 2621440 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 267 : 262144 2359456 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 268 : 262144 1834944 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 269 : 262144 2097024 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 270 : 262144 2359520 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 271 : 262144 2359392 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 272 : 262144 2621440 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 273 : 262144 2359360 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 274 : 262144 2621440 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 275 : 262144 2359328 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 276 : 262144 1835008 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 279 : 2097152 13112128 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 280 : 2097152 0 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 284 : 2097152 18876352 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 298 : 2097152 71310656 0 65536 65536 0 0 0 0 
nw.5.sm_52.ptx 299 : 2097152 18876256 0 0 0 0 0 0 0 
nw.5.sm_52.ptx 314 : 2097152 8392192 0 0 0 262144 65536 0 0 
